att_x_corr,N,hypothesis,power,n_significant,n_valid,n_sims,alpha
0.3,140,H2_attestation:correctness,0.999,999,1000,1000,0.05
0.3,140,H4_attestation:correctness:stakes,0.132,132,1000,1000,0.05
0.3,160,H1_attestation,1.0,1000,1000,1000,0.05
0.3,160,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,160,H4_attestation:correctness:stakes,0.13,130,1000,1000,0.05
0.3,180,H1_attestation,1.0,1000,1000,1000,0.05
0.3,180,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,180,H4_attestation:correctness:stakes,0.155,155,1000,1000,0.05
0.3,200,H1_attestation,1.0,1000,1000,1000,0.05
0.3,200,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,200,H4_attestation:correctness:stakes,0.175,175,1000,1000,0.05
0.3,240,H1_attestation,1.0,1000,1000,1000,0.05
0.3,240,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,240,H4_attestation:correctness:stakes,0.248,248,1000,1000,0.05
0.3,280,H1_attestation,1.0,1000,1000,1000,0.05
0.3,280,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,280,H4_attestation:correctness:stakes,0.265,265,1000,1000,0.05
0.3,320,H1_attestation,1.0,1000,1000,1000,0.05
0.3,320,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,320,H4_attestation:correctness:stakes,0.313,313,1000,1000,0.05
0.3,400,H1_attestation,1.0,1000,1000,1000,0.05
0.3,400,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,400,H4_attestation:correctness:stakes,0.439,439,1000,1000,0.05
0.3,500,H1_attestation,1.0,1000,1000,1000,0.05
0.3,500,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.3,500,H4_attestation:correctness:stakes,0.539,539,1000,1000,0.05
0.35,60,H1_attestation,1.0,1000,1000,1000,0.05
0.35,60,H2_attestation:correctness,0.959,959,1000,1000,0.05
0.35,60,H4_attestation:correctness:stakes,0.056,56,1000,1000,0.05
0.35,80,H1_attestation,1.0,1000,1000,1000,0.05
0.35,80,H2_attestation:correctness,0.987,987,1000,1000,0.05
0.35,80,H4_attestation:correctness:stakes,0.065,65,1000,1000,0.05
0.35,100,H1_attestation,1.0,1000,1000,1000,0.05
0.35,100,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,100,H4_attestation:correctness:stakes,0.078,78,1000,1000,0.05
0.35,120,H1_attestation,1.0,1000,1000,1000,0.05
0.35,120,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,120,H4_attestation:correctness:stakes,0.102,102,1000,1000,0.05
0.35,140,H1_attestation,1.0,1000,1000,1000,0.05
0.35,140,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,140,H4_attestation:correctness:stakes,0.145,145,1000,1000,0.05
0.35,160,H1_attestation,1.0,1000,1000,1000,0.05
0.35,160,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,160,H4_attestation:correctness:stakes,0.146,146,1000,1000,0.05
0.35,180,H1_attestation,1.0,1000,1000,1000,0.05
0.35,180,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,180,H4_attestation:correctness:stakes,0.171,171,1000,1000,0.05
0.35,200,H1_attestation,1.0,1000,1000,1000,0.05
0.35,200,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,200,H4_attestation:correctness:stakes,0.165,165,1000,1000,0.05
0.35,240,H1_attestation,1.0,1000,1000,1000,0.05
0.35,240,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,240,H4_attestation:correctness:stakes,0.229,229,1000,1000,0.05
0.35,280,H1_attestation,1.0,1000,1000,1000,0.05
0.35,280,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,280,H4_attestation:correctness:stakes,0.248,248,1000,1000,0.05
0.35,320,H1_attestation,1.0,1000,1000,1000,0.05
0.35,320,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,320,H4_attestation:correctness:stakes,0.324,324,1000,1000,0.05
0.35,400,H1_attestation,1.0,1000,1000,1000,0.05
0.35,400,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,400,H4_attestation:correctness:stakes,0.419,419,1000,1000,0.05
0.35,500,H1_attestation,1.0,1000,1000,1000,0.05
0.35,500,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.35,500,H4_attestation:correctness:stakes,0.492,492,1000,1000,0.05
0.4,60,H1_attestation,1.0,1000,1000,1000,0.05
0.4,60,H2_attestation:correctness,0.993,993,1000,1000,0.05
0.4,60,H4_attestation:correctness:stakes,0.043,43,1000,1000,0.05
0.4,80,H1_attestation,1.0,1000,1000,1000,0.05
0.4,80,H2_attestation:correctness,0.997,997,1000,1000,0.05
0.4,80,H4_attestation:correctness:stakes,0.061,61,1000,1000,0.05
0.4,100,H1_attestation,1.0,1000,1000,1000,0.05
0.4,100,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,100,H4_attestation:correctness:stakes,0.099,99,1000,1000,0.05
0.4,120,H1_attestation,1.0,1000,1000,1000,0.05
0.4,120,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,120,H4_attestation:correctness:stakes,0.089,89,1000,1000,0.05
0.4,140,H1_attestation,1.0,1000,1000,1000,0.05
0.4,140,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,140,H4_attestation:correctness:stakes,0.115,115,1000,1000,0.05
0.4,160,H1_attestation,1.0,1000,1000,1000,0.05
0.4,160,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,160,H4_attestation:correctness:stakes,0.141,141,1000,1000,0.05
0.4,180,H1_attestation,1.0,1000,1000,1000,0.05
0.4,180,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,180,H4_attestation:correctness:stakes,0.155,155,1000,1000,0.05
0.4,200,H1_attestation,1.0,1000,1000,1000,0.05
0.4,200,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,200,H4_attestation:correctness:stakes,0.181,181,1000,1000,0.05
0.4,240,H1_attestation,1.0,1000,1000,1000,0.05
0.4,240,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,240,H4_attestation:correctness:stakes,0.234,234,1000,1000,0.05
0.4,280,H1_attestation,1.0,1000,1000,1000,0.05
0.4,280,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,280,H4_attestation:correctness:stakes,0.279,279,1000,1000,0.05
0.4,320,H1_attestation,1.0,1000,1000,1000,0.05
0.4,320,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,320,H4_attestation:correctness:stakes,0.32,320,1000,1000,0.05
0.4,400,H1_attestation,1.0,1000,1000,1000,0.05
0.4,400,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,400,H4_attestation:correctness:stakes,0.427,427,1000,1000,0.05
0.4,500,H1_attestation,1.0,1000,1000,1000,0.05
0.4,500,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,500,H4_attestation:correctness:stakes,0.534,534,1000,1000,0.05
